Account,SeriesId,SeriesName,vaultId,debtAmountFmt,debtAmount,collateralAmountFmt,collateralAmount,collateralSymbol
0x03c530788336b21dc87ed0cd45c6b7459576d76e,0x0032ff00028b,FYUSDC2306,0x06fe4cc3f320d73cd0172964,380.017662,380017662,438,438000000000000000000,DAI
0x0a821de645e9070196bfc9be7ed6a8d7673737bb,0x0032ff00028b,FYUSDC2306,0x5373783c60e81d3d4145b400,100.003492,100003492,130,130000000000000000000,DAI
0x148b9a5e1efe7292c53b86dd85a39e8b49f51bff,0x0030ff00028b,FYETH2306,0x0841ee50b67dccc29befa2eb,0.035058858515880394,35058858515880390,128.883944165375591269,128883944165375590000,DAI
0x1b74853d1bf0bc4bd3458b5038a5ae9c65c45959,0x0032ff00028b,FYUSDC2306,0x8858b8368d3b891578745469,450.492531,450492531,0.6,600000000000000000,WETH
0x1e9ff7d98e9d1ea8b0a14e8a5617bbb6e64ba1cc,0x0030ff00028b,FYETH2306,0xc98d72819dea8445f4224679,0.040073688900719353,40073688900719360,145.49373,145493730,USDC
0x22d7d38717474569ea63cbda595f4bbc0f1b640d,0x0031ff00028b,FYDAI2306,0xe6846458cc8104793b099189,100.056251683329406052,100056251683329410000,0.2,200000000000000000,WETH
0x24f1295eb235b5293c3d5cb3732ff84af29f2cd8,0x0030ff00028b,FYETH2306,0xd05332a4954639044a9be6a3,0.054069854856208591,54069854856208590,177.89823,177898230,USDC
0x26c4b1882bb1d4e50c8ebd3a27f9f04b5eabfb4b,0x0031ff00028b,FYDAI2306,0x2863a87b33f2c481addfaa64,100.053467752717777366,100053467752717780000,120.065963,120065963,USDC
0x417ce427b6983f3b14c09586485710afef48b4bd,0x0030ff00028b,FYETH2306,0x8cfa73781d9a2d03e1eb677a,0.060092467609655084,60092467609655090,196.921824,196921824,USDC
0x45c02d48d3964f675c03a2f6f60a1ea10832f834,0x0030ff00028b,FYETH2306,0xf02ead71cea2f6ba4be17076,0.050093220322409112,50093220322409110,202.010817,202010817,USDC
0x4707ddf20584a1df862403e7e0cc77c33330dca0,0x0032ff00028b,FYUSDC2306,0xf95ce8a50734b04ce54894e1,120.003064,120003064,150,150000000000000000000,DAI
0x4847a8135998767b984ace67a0db76465d7aab69,0x0030ff00028b,FYETH2306,0xc1ae4c18e145e6dcae90cd94,0.060143114344636576,60143114344636580,200.895903303932229868,200895903303932250000,DAI
0x486f3e06fac62a6ef16fae6ce0dadb00ae8ae6b7,0x0030ff00028b,FYETH2306,0xbd2d6073fcea943157e4290c,0.063148427295509776,63148427295509780,204.649687,204649687,USDC
0x4a6b1bb9a5de9733f2ebb197e40cd49b266f63a0,0x0030ff00028b,FYETH2306,0x6e49407e063c418ed507f39c,0.060143927420118311,60143927420118310,190.544086702080942661,190544086702080920000,DAI
0x4ab3d7f4c46e511ca09eecdac483e43ed96bd7aa,0x0030ff00028b,FYETH2306,0xf5d64deabf8f733c28e0a563,0.025018402237249632,25018402237249630,80.002365,80002365,USDC
0x55e8c6fce995c1712f234e5c16ad6551a3e3fdda,0x0030ff00028b,FYETH2306,0xb3a281caef41b37233c857a7,0.051577939812274938,51577939812274936,170.109828204557351687,170109828204557340000,DAI
0x568161f734abf64d5654c79ebeaf2548206efd12,0x0030ff00028b,FYETH2306,0xdfc53bc0d23ddfc7732f503a,0.068161266734714471,68161266734714460,236.675901772380251457,236675901772380240000,DAI
0x63a1d45b2217a2eae87c8fa1327a905ce846a8e5,0x0030ff00028b,FYETH2306,0x4a5df2e7ba4cf9b76a15c228,0.030021726981255151,30021726981255150,144.147294,144147294,USDC
0x63e884eea4d1a500f9903b7701d371b0cbae590f,0x0032ff00028b,FYUSDC2306,0x02b81634442086f477cdd3f7,10526.822519,10526822519,13.026,13026000000000000000,WETH
0x63e884eea4d1a500f9903b7701d371b0cbae590f,0x0032ff00028b,FYUSDC2306,0x2b152cfc907d63270ca0a4bd,4004.732624,4004732624,5,5000000000000000000,WETH
0x675ae49c0a270f5e19cdc139091f56215295b1ce,0x0030ff00028b,FYETH2306,0xf1c3f12c349a9fab957458e2,0.057088265735613892,57088265735613896,187.143617,187143617,USDC
0x6dbd23f84fc7cc62a92a8b6a962b1a71cfc00918,0x0030ff00028b,FYETH2306,0xfbadfae6a40b282197e4a8de,0.031056568948787526,31056568948787530,124.080274501968623348,124080274501968610000,DAI
0x7109794b59e1ce9bb77ab30d851a9afe516f5f3d,0x0030ff00028b,FYETH2306,0x28f86a39f3cfb92b7011017c,0.028136679455562244,28136679455562244,77.593094,77593094,USDC
0x72b6f706961098bf083db9234432d0561e017c2e,0x0030ff00028b,FYETH2306,0xd260786922e702ac14076257,0.060099489155461361,60099489155461360,210.431647,210431647,USDC
0x73daffdc54bce1e66b600ea313c52db67b32b882,0x0030ff00028b,FYETH2306,0x36b2f21ace52a1bf7d0fbdc0,0.050078729575110259,50078729575110264,174.330548536630927469,174330548536630900000,DAI
0x75133cc748f1f9b280118a65610c0d5811b19d55,0x0030ff00028b,FYETH2306,0xfbdae35abbc52004902431ed,0.030086210863920183,30086210863920184,100,100000000,USDC
0x767a60f295aedd958932088f9cd6a4951d8739b6,0x0031ff00028b,FYDAI2306,0xd63a2d0a59950c63cb450e9f,6008.274621229262313438,6.008274621229262e+21,6939.642331,6939642331,USDC
0x7707968a053bbb29548dc727b1ea799f17f81fc4,0x0030ff00028b,FYETH2306,0x0af5df3b38bacb01fbc7e63b,0.062588368424727804,62588368424727800,205.007385,205007385,USDC
0x7804dfdba09a99b4fb341af76bf07d9ace523814,0x0030ff00028b,FYETH2306,0x0c1690338dc323b84e52daf5,0.058602399927371042,58602399927371040,191.448048,191448048,USDC
0x7e80ef678a23a54b22a480ba872987adba420e49,0x0030ff00028b,FYETH2306,0x998c3bb90a28e7d9ec973bdc,0.051247879183595395,51247879183595390,204.834509,204834509,USDC
0x8077338c187a9edd65ec075aa34b1ad6b57ca05e,0x0030ff00028b,FYETH2306,0x311f9cd8a4baf651306da703,0.055083647727953051,55083647727953050,181.376235,181376235,USDC
0x87d163b14d1723453ffb4d224ac23b0949817ac4,0x0030ff00028b,FYETH2306,0x4c7fed5b737f7ca674f1e2b6,0.051483050997752539,51483050997752536,168.251278,168251278,USDC
0x8ccff1c5ca93a1c98b4cd1968b01deef4930c275,0x0030ff00028b,FYETH2306,0xc23adc0f2b8a64dc3e206e0a,0.02608796812915301,26087968129153012,90,90000000,USDC
0x8d4baf4021700465f52e28890e4a9e741f054d6b,0x0032ff00028b,FYUSDC2306,0xea45a55e53a0dee1ee3f204e,150.206761,150206761,0.2,200000000000000000,WETH
0x95ff629309c55100ccea8c6d625dc8d248ed231d,0x0030ff00028b,FYETH2306,0x0ee256d4dc28316f7f0b4106,0.05009445395233151,50094453952331510,200.995838,200995838,USDC
0x9e562067824f9cf9ee64d7109e9f737c7f9937a9,0x0030ff00028b,FYETH2306,0xef043b8fa50f69aba17d916d,0.030058007156255063,30058007156255064,109.900065,109900065,USDC
0xa29073f690a9fdb9836e58055b875a81473b0d75,0x0032ff00028b,FYUSDC2306,0xb232651e6d499ff2c8006c04,400.428408,400428408,0.44,440000000000000000,WETH
0xacd7f2c7221c35ff0ab461d96485180c645bf696,0x0031ff00028b,FYDAI2306,0x61227a7d69219da7ba74bea9,499.987358849170989152,499987358849171000000,1,1000000000000000000,WETH
0xb493648f0ed96afe4adce0b5089670e7ba968e8c,0x0032ff00028b,FYUSDC2306,0x999899b69b5c5d1a734d558b,500.044202,500044202,0.625,625000000000000000,WETH
0xb74b5346cc0b7498c1c8a6120fb4352d4b49c81d,0x0030ff00028b,FYETH2306,0xe02f54f7bc432fbefa898a4f,0.05009023969199191,50090239691991910,200.984268,200984268,USDC
0xbb5425dc9dc7510d2cd148cb01839ea281bbe1e2,0x0030ff00028b,FYETH2306,0x215d1fdd7beaca7914aebe98,0.061104032971583623,61104032971583624,199.806626,199806626,USDC
0xbb8d2767a615dbce5df03a10da3a60bb38eb8692,0x0030ff00028b,FYETH2306,0xa741c6b91e883179b55d4887,0.030349564181598848,30349564181598850,122.768305,122768305,USDC
0xc36fb19a673f42cb773ea0d1275f1c7de5c9f9bd,0x0030ff00028b,FYETH2306,0x1b3be2aea3e35af8e654bc9b,0.030053103327855882,30053103327855884,109.062255,109062255,USDC
0xca86e323c07e6f8ee2fff548db0a26a05df3a410,0x0032ff00028b,FYUSDC2306,0xd4204e7f016cd25a24b26b89,100.125454,100125454,0.125217213149756986,125217213149756980,WETH
0xca9c70410ad905d9aafe87b25c99967ee5f14240,0x0031ff00028b,FYDAI2306,0x51c34965af210d0d23916f26,100.083198752563350014,100083198752563350000,0.183247102311433344,183247102311433340,WETH
0xcbb54eda2048b57d1b0afb19a73948e9d58b6973,0x0032ff00028b,FYUSDC2306,0x5201a10dd527d1453072a2ed,100.004767,100004767,0.2,200000000000000000,WETH
0xcd2a8b6ffe7a87b5e614dbf1c93166ea6e986d58,0x0032ff00028b,FYUSDC2306,0x623f0254b2d347ab77507765,100.003425,100003425,0.1,100000000000000000,WETH
0xd589a999b7f71365939bc2a96249e2b9ea315685,0x0032ff00028b,FYUSDC2306,0xf320fef20a35ca3950efe6cf,1001.069957,1001069957,1.3,1300000000000000000,WETH
0xd73f607911967e716e9c275e71831d90c22e9bc2,0x0030ff00028b,FYETH2306,0x8e45dd102e27d01169014664,5.00958236930839808,5009582369308398000,18138.111968,18138111968,USDC
0xd83b04e32f878cf2435e8ddd8479c8624444e7a2,0x0032ff00028b,FYUSDC2306,0xe3cc3b167570b4b21e0cc8d0,100.003333,100003333,0.129022140298817562,129022140298817570,WETH
0xdc51f77ffb876305c27e9686506ee39d0ae25c08,0x0030ff00028b,FYETH2306,0xeb9b141802b08793d9e3840f,0.031163764863727196,31163764863727196,114.619583,114619583,USDC
0xe3b5993160fed0bcd133ae370231d9bf7defec3b,0x0032ff00028b,FYUSDC2306,0xf052654e2d0ad47955e23b4f,250.091054,250091054,0.35,350000000000000000,WETH
0xe5142a29c741ea5c5c6cf4c6c5ae12a00cb4d2e2,0x0032ff00028b,FYUSDC2306,0x1aa6dd10fd8d6361daab4185,100.092737,100092737,0.13,130000000000000000,WETH
0xe7b2f294731e7b6a0f67802caec191715b7929ce,0x0030ff00028b,FYETH2306,0x0928b9a92d4a9df739e386f3,0.052075987966644656,52075987966644660,180.889114980282499397,180889114980282500000,DAI
0xe7f9b1f8b95d7aabe1ce649de1d12b8be0186536,0x0032ff00028b,FYUSDC2306,0xc52c8e343a6c7803cc8ba951,250.317913,250317913,0.5,500000000000000000,WETH
0xe9b8cd7862dad2482644d2a02f8f568eaecfe733,0x0030ff00028b,FYETH2306,0x0e0ced52c8046caf187e49ab,0.045062441678251876,45062441678251870,159.381365,159381365,USDC
0xeab7f651920626b0c539674329aa29564486dd6b,0x0030ff00028b,FYETH2306,0x8206e9a02aa7371c401d44fb,0.030384137085275279,30384137085275280,110.927377,110927377,USDC
0xed45e62e7802190fa9a65f2b7e036da3a8c73b6d,0x0032ff00028b,FYUSDC2306,0xfeb8323fb7f12dd882756e42,250.270611,250270611,0.3,300000000000000000,WETH
0xed5169a5f41d1a9a3fdad178da40299d35bec0c8,0x0030ff00028b,FYETH2306,0xd5ff22f8a57718c1f1301961,0.070163652665483219,70163652665483220,229.675324,229675324,USDC
0xf276827ab08587c95a7f32a1cbe7fd7b65b1f021,0x0030ff00028b,FYETH2306,0x31b0c578e212467bcd9ce721,0.033052638997133671,33052638997133668,104.985894,104985894,USDC
0xf29bdc3489530f4ddc99017d8dfe994174666ac8,0x0030ff00028b,FYETH2306,0x6c9c5cebe71e94bc2d2905ae,0.053078832859154645,53078832859154640,176.262873451452591097,176262873451452560000,DAI
0xf6925aea9fec4db60f8a722056ae76961a4c945e,0x0032ff00028b,FYUSDC2306,0xb636febf5777ac969d672e38,100.002194,100002194,120,120000000000000000000,DAI
0xf69e9f5398fcb773a10a83dfdad84f75797856b1,0x0030ff00028b,FYETH2306,0xfb7e53645f088cde706235f5,0.040049699369224056,40049699369224056,138.274427,138274427,USDC
0xfd19ba3c96ee9a8c0be474daa9664cae22824f0c,0x0030ff00028b,FYETH2306,0x08786ae6839b15b50f37cb14,0.053083169723230121,53083169723230120,176.976452,176976452,USDC
0xfe07dd03beeabc97858ce333eca59017d87418ce,0x0030ff00028b,FYETH2306,0x22a2aa4a26c3d79930593646,0.056070912891251283,56070912891251280,183.771061,183771061,USDC
